epoch,box,cls,dfl,Recall,Precision,F1,mAP@50,mAP
001,2.501,4.191,0.167,0.032,0.454,0.033,0.025,0.013
002,1.956,3.181,0.115,0.097,0.272,0.096,0.066,0.037
003,1.839,2.824,0.104,0.148,0.229,0.148,0.111,0.064
004,1.771,2.624,0.099,0.184,0.294,0.190,0.153,0.092
005,1.788,2.578,0.100,0.233,0.349,0.243,0.206,0.127
006,1.706,2.379,0.093,0.263,0.401,0.286,0.249,0.158
007,1.660,2.252,0.089,0.281,0.424,0.307,0.277,0.178
008,1.619,2.165,0.087,0.303,0.436,0.327,0.299,0.194
009,1.600,2.103,0.084,0.312,0.463,0.339,0.312,0.203
010,1.578,2.057,0.083,0.319,0.472,0.346,0.320,0.211
011,1.559,2.012,0.082,0.325,0.478,0.352,0.327,0.215
012,1.544,1.978,0.080,0.327,0.486,0.355,0.333,0.220
013,1.535,1.950,0.079,0.327,0.479,0.357,0.337,0.224
014,1.527,1.930,0.079,0.334,0.483,0.362,0.343,0.228
015,1.516,1.914,0.078,0.337,0.489,0.366,0.348,0.233
016,1.508,1.894,0.077,0.342,0.494,0.371,0.353,0.237
017,1.503,1.876,0.077,0.345,0.499,0.375,0.358,0.241
018,1.496,1.864,0.077,0.347,0.508,0.379,0.364,0.246
019,1.491,1.846,0.076,0.348,0.515,0.382,0.367,0.249
020,1.487,1.836,0.076,0.352,0.522,0.388,0.373,0.253
021,1.485,1.830,0.075,0.353,0.531,0.392,0.379,0.257
022,1.475,1.815,0.075,0.356,0.534,0.396,0.383,0.259
023,1.473,1.811,0.075,0.361,0.539,0.401,0.387,0.263
024,1.472,1.801,0.075,0.365,0.543,0.405,0.392,0.266
025,1.467,1.790,0.074,0.368,0.542,0.408,0.395,0.269
026,1.464,1.789,0.074,0.370,0.549,0.411,0.400,0.272
027,1.463,1.780,0.074,0.370,0.560,0.415,0.405,0.276
028,1.463,1.775,0.074,0.375,0.560,0.418,0.408,0.278
029,1.459,1.766,0.073,0.381,0.551,0.421,0.411,0.281
030,1.454,1.761,0.073,0.384,0.554,0.425,0.414,0.283
031,1.455,1.755,0.073,0.388,0.551,0.427,0.417,0.285
032,1.454,1.751,0.073,0.390,0.552,0.429,0.419,0.287
033,1.453,1.748,0.073,0.393,0.552,0.431,0.421,0.289
034,1.451,1.745,0.073,0.390,0.563,0.432,0.423,0.290
035,1.448,1.740,0.072,0.392,0.565,0.435,0.426,0.292
036,1.446,1.735,0.072,0.397,0.562,0.439,0.428,0.293
037,1.448,1.731,0.072,0.399,0.568,0.441,0.430,0.295
038,1.448,1.730,0.072,0.401,0.568,0.443,0.432,0.296
